Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-06-27,13.71,14.19,13.68,13.96,135034,USD,0.5099999999999998,-0.25,13.75,14.677142857142858,14.789047619047619,0.5091496178269472,2.3455040071632833
2016-06-28,13.95,14.07,11.51,12.22,896165,USD,2.5600000000000005,1.7299999999999986,13.647142857142857,14.212142857142856,14.680476190476192,0.7264230696986902,2.411396848696774
2016-06-29,12.08,13.05,11.57,12.77,427249,USD,1.4800000000000004,-0.6899999999999995,13.578571428571431,13.80642857142857,14.598571428571429,0.790030138062853,2.447135643388578
2016-06-30,12.64,12.88,12.2,12.5,213185,USD,0.6800000000000015,0.14000000000000057,13.400000000000002,13.220714285714283,14.505714285714285,0.8808707812916283,2.4896818500133073
2016-07-01,12.5,12.58,11.74,12.35,302715,USD,0.8399999999999999,0.15000000000000036,13.122857142857143,12.987857142857143,14.428571428571429,0.8591025217383147,2.531851665706905
2016-07-02,12.17,12.2,11.95,12.14,86170,USD,0.25,0.02999999999999936,12.812857142857142,13.040000000000001,14.332857142857144,0.7430054796952229,2.580436286477812
2016-07-03,12.06,12.11,11.56,11.78,196777,USD,0.5499999999999989,0.28000000000000114,12.531428571428572,12.993571428571428,14.14142857142857,0.7007716834896626,2.6150340068807574
2016-07-04,11.65,11.85,11.35,11.42,147788,USD,0.5,0.23000000000000043,12.168571428571429,12.959285714285713,13.840952380952382,0.45079295215682547,2.5436232125884954
2016-07-05,11.42,11.49,9.35,10.53,1121467,USD,2.1400000000000006,0.8900000000000006,11.927142857142858,12.787142857142856,13.45047619047619,0.7630577585328137,2.379685853616971
2016-07-06,10.37,11.12,10.22,10.55,327604,USD,0.8999999999999986,-0.1800000000000015,11.61,12.594285714285714,13.074285714285715,0.8140024569987346,2.1645289820849443
2016-07-07,10.58,10.67,9.73,10.14,291456,USD,0.9399999999999995,0.4399999999999995,11.272857142857143,12.33642857142857,12.571428571428571,0.8707030547343823,1.3937728857826261
2016-07-08,10.16,11.65,9.9,11.31,533974,USD,1.75,-1.1500000000000004,11.124285714285715,12.123571428571427,12.366666666666665,0.7343218445807984,1.231459838294902
2016-07-09,11.37,11.43,10.4,10.9,431162,USD,1.0299999999999994,0.46999999999999886,10.947142857142856,11.879999999999999,12.342380952380953,0.582286134865941,1.256052963699788
2016-07-10,10.83,11.02,10.74,10.95,75849,USD,0.27999999999999936,-0.11999999999999922,10.828571428571427,11.680000000000001,12.271904761904764,0.4550248554173638,1.2919002246598472
2016-07-11,10.95,11.09,10.2,10.51,287837,USD,0.8900000000000006,0.4399999999999995,10.698571428571428,11.433571428571428,12.205714285714285,0.38203091373289744,1.346367599983633
2016-07-12,10.48,10.8,10.4,10.55,143679,USD,0.40000000000000036,-0.07000000000000028,10.70142857142857,11.314285714285715,12.091904761904763,0.38063230601319936,1.381743894676638
2016-07-13,10.55,10.6,10.43,10.47,62846,USD,0.16999999999999993,0.08000000000000007,10.69,11.150000000000002,11.95952380952381,0.3870831090777621,1.3983149723523436
2016-07-14,10.7,11.79,10.69,11.6,419066,USD,1.0999999999999996,-0.9000000000000004,10.89857142857143,11.085714285714287,11.857142857142858,0.4320659120793109,1.3380775121686346
2016-07-15,11.5,12.55,11.37,11.93,600618,USD,1.1800000000000015,-0.4299999999999997,10.987142857142857,11.055714285714286,11.744761904761905,0.5715101132296648,1.2171754969913602
2016-07-16,11.95,12.05,11.72,11.72,127925,USD,0.33000000000000007,0.22999999999999865,11.104285714285712,11.025714285714287,11.621428571428572,0.631555147838952,1.0660923304962058
2016-07-17,11.72,11.74,11.02,11.24,575467,USD,0.7200000000000006,0.4800000000000004,11.145714285714288,10.987142857142857,11.501904761904763,0.6292550395204479,0.9498874620059813
